Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Quick Sort Pivo Fixo,aleatorio,3420,305,0,46626,27377
Quick Sort Pivo Fixo,aleatorio,3430,308,0,47624,25255
Quick Sort Pivo Fixo,aleatorio,3440,313,0,48046,28363
Quick Sort Pivo Fixo,aleatorio,3450,342,0,43974,26900
Quick Sort Pivo Fixo,aleatorio,3460,386,0,45392,24893
Quick Sort Pivo Fixo,aleatorio,3470,572,0,45609,24635
Quick Sort Pivo Fixo,aleatorio,3480,400,0,44479,25033
Quick Sort Pivo Fixo,aleatorio,3490,400,0,46898,25744
Quick Sort Pivo Fixo,aleatorio,3500,311,0,47571,28401
Quick Sort Pivo Fixo,aleatorio,3510,389,0,46143,26250
Quick Sort Pivo Fixo,aleatorio,3520,390,0,44995,22806
Quick Sort Pivo Fixo,aleatorio,3530,345,0,46877,26385
Quick Sort Pivo Fixo,aleatorio,3540,513,0,47006,24465
Quick Sort Pivo Fixo,aleatorio,3550,410,0,49183,24502
Quick Sort Pivo Fixo,aleatorio,3560,420,0,51359,29530
Quick Sort Pivo Fixo,aleatorio,3570,394,0,45271,23179
Quick Sort Pivo Fixo,aleatorio,3580,406,0,47692,25314
Quick Sort Pivo Fixo,aleatorio,3590,390,0,45732,22850
Quick Sort Pivo Fixo,aleatorio,3600,344,0,47296,27339
Quick Sort Pivo Fixo,aleatorio,3610,440,0,50393,29307
Quick Sort Pivo Fixo,aleatorio,3620,406,0,47701,26888
Quick Sort Pivo Fixo,aleatorio,3630,421,0,49225,27865
Quick Sort Pivo Fixo,aleatorio,3640,413,0,48954,27839
Quick Sort Pivo Fixo,aleatorio,3650,373,0,46525,26721
Quick Sort Pivo Fixo,aleatorio,3660,430,0,49280,28331
Quick Sort Pivo Fixo,aleatorio,3670,323,0,50190,24351
Quick Sort Pivo Fixo,aleatorio,3680,415,0,50106,27445
Quick Sort Pivo Fixo,aleatorio,3690,424,0,47068,26251
Quick Sort Pivo Fixo,aleatorio,3700,421,0,49064,25350
Quick Sort Pivo Fixo,aleatorio,3710,363,0,51332,27666
Quick Sort Pivo Fixo,aleatorio,3720,445,0,54869,31086
Quick Sort Pivo Fixo,aleatorio,3730,327,0,49095,24831
Quick Sort Pivo Fixo,aleatorio,3740,451,0,54518,33631
Quick Sort Pivo Fixo,aleatorio,3750,382,0,51656,28528
Quick Sort Pivo Fixo,aleatorio,3760,466,0,54575,32834
Quick Sort Pivo Fixo,aleatorio,3770,420,0,50020,25973
Quick Sort Pivo Fixo,aleatorio,3780,451,0,54710,30540
Quick Sort Pivo Fixo,aleatorio,3790,432,0,53450,26680
Quick Sort Pivo Fixo,aleatorio,3800,455,0,56969,32261
Quick Sort Pivo Fixo,aleatorio,3810,626,0,50501,29095
Quick Sort Pivo Fixo,aleatorio,3820,344,0,49344,25278
Quick Sort Pivo Fixo,aleatorio,3830,351,0,54095,30475
Quick Sort Pivo Fixo,aleatorio,3840,445,0,53974,27450
Quick Sort Pivo Fixo,aleatorio,3850,437,0,50426,27313
Quick Sort Pivo Fixo,aleatorio,3860,430,0,49559,26202
Quick Sort Pivo Fixo,aleatorio,3870,467,0,56237,32674
Quick Sort Pivo Fixo,aleatorio,3880,470,0,51585,26730
Quick Sort Pivo Fixo,aleatorio,3890,440,0,52416,28480
Quick Sort Pivo Fixo,aleatorio,3900,453,0,51505,28630
Quick Sort Pivo Fixo,aleatorio,3910,450,0,52011,31498
Quick Sort Pivo Fixo,aleatorio,3920,444,0,56015,26793
Quick Sort Pivo Fixo,aleatorio,3930,380,0,54192,30175
Quick Sort Pivo Fixo,aleatorio,3940,461,0,56155,32112
Quick Sort Pivo Fixo,aleatorio,3950,356,0,52493,28527
Quick Sort Pivo Fixo,aleatorio,3960,358,0,50174,26985
Quick Sort Pivo Fixo,aleatorio,3970,363,0,52665,25514
Quick Sort Pivo Fixo,aleatorio,3980,469,0,56468,29180
Quick Sort Pivo Fixo,aleatorio,3990,479,0,56013,32384
Quick Sort Pivo Fixo,aleatorio,4000,478,0,57987,31551
Quick Sort Pivo Fixo,aleatorio,4010,478,0,56402,29746
Quick Sort Pivo Fixo,aleatorio,4020,502,0,53408,31184
Quick Sort Pivo Fixo,aleatorio,4030,677,0,52291,29711
Quick Sort Pivo Fixo,aleatorio,4040,454,0,54268,28211
